Rk_x,Player,Pos,Age,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_y,Tm_y,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
227,george hill,PG,32.0,CLE,13.0,344.0,13.5,0.604,0.262,0.187,3.7,5.0,4.4,16.1,1.7,0.3,14.7,17.3,0.5,0.0,0.5,0.067,0.3,-2.5,-2.2,0.0,50,MIL,19000000,18000000,,,,,Cap space,20000000
227,george hill,PG,32.0,MIL,45.0,918.0,11.9,0.5429999999999999,0.449,0.223,3.0,9.2,6.3,13.5,1.9,0.6,9.1,14.1,1.1,1.3,2.4,0.124,-0.7,0.4,-0.3,0.4,50,MIL,19000000,18000000,,,,,Cap space,20000000
228,solomon hill,SF,27.0,NOP,42.0,831.0,6.7,0.5,0.5660000000000001,0.201,4.3,11.1,7.7,7.2,1.2,0.9,14.8,10.0,0.1,0.4,0.5,0.028999999999999998,-2.2,-0.2,-2.4,-0.1,107,NOP,12252928,13258781,,,,,Cap Space,25511709
229,aaron holiday,PG,22.0,IND,48.0,600.0,12.1,0.519,0.484,0.193,0.9,11.1,6.1,18.7,1.6,1.9,12.3,22.0,0.1,0.8,0.9,0.068,-1.5,-0.9,-2.4,-0.1,351,IND,1911960,2239200,2345640,3980551,,,1st Round Pick,4151160
230,jrue holiday,SG,28.0,NOP,67.0,2402.0,19.4,0.555,0.313,0.23399999999999999,3.3,11.0,7.2,31.9,2.1,1.8,14.1,25.4,3.5,1.9,5.4,0.109,2.9,-0.1,2.8,2.9,18,NOP,25976111,26131111,26131111,27020000,,,Bird Rights,78238333
231,justin holiday,SG,29.0,TOT,79.0,2501.0,9.7,0.513,0.599,0.134,1.9,11.9,6.8,8.1,2.3,1.2,11.3,15.4,-0.6,2.4,1.8,0.034,-1.5,0.7,-0.8,0.7,226,MEM,4384616,,,,,,MLE,4384616
231,justin holiday,SG,29.0,CHI,38.0,1325.0,11.0,0.531,0.685,0.11699999999999999,1.5,12.5,7.0,9.1,2.5,1.4,10.2,15.2,0.2,1.1,1.3,0.047,-0.1,0.8,0.7,0.9,226,MEM,4384616,,,,,,MLE,4384616
231,justin holiday,SG,29.0,MEM,41.0,1176.0,8.2,0.493,0.499,0.153,2.3,11.3,6.7,7.1,2.2,1.1,12.6,15.7,-0.8,1.3,0.5,0.02,-3.1,0.5,-2.5,-0.1,226,MEM,4384616,,,,,,MLE,4384616
232,john holland,SF,30.0,CLE,1.0,1.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.032,-6.3,-0.9,-7.2,0.0,,,,,,,,,,
233,rondae hollis-jefferson,SF,24.0,BRK,58.0,1208.0,12.5,0.47,0.1,0.39,6.8,19.1,13.0,11.6,1.6,1.7,10.6,21.4,-0.3,1.5,1.2,0.048,-4.2,1.1,-3.1,-0.3,297,BRK,2470357,,,,,,1st Round pick,2470357
234,richaun holmes,C,25.0,PHO,70.0,1184.0,20.7,0.647,0.0,0.479,10.6,20.6,15.5,7.9,1.7,5.5,10.5,17.9,3.1,1.2,4.3,0.175,-0.1,1.5,1.4,1.0,386,PHO,1600520,,,,,,Cap Space,1600520
235,rodney hood,SG,26.0,TOT,70.0,1846.0,12.5,0.5479999999999999,0.353,0.231,1.4,7.8,4.5,9.9,1.6,0.5,6.7,18.2,2.2,0.5,2.6,0.069,-0.1,-2.2,-2.2,-0.1,248,POR,3472887,,,,,,,3472887
