,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
110,86,Isaiah Canaan,PG,27,TOT,30,629,8.0,.518,.585,.146,1.0,9.3,5.1,18.2,1.1,0.3,16.7,14.2,,0.1,0.1,0.1,.011,,-2.4,-2.6,-5.0,-0.5
111,86,Isaiah Canaan,PG,27,PHO,19,503,7.4,.515,.558,.155,1.1,9.9,5.4,17.0,1.1,0.0,17.4,14.2,,-0.1,0.0,0.0,-0.004,,-2.6,-2.4,-5.0,-0.4
112,86,Isaiah Canaan,PG,27,MIN,7,95,12.4,.536,.655,.138,0.0,5.7,2.8,26.8,1.0,0.9,11.5,15.3,,0.1,0.0,0.2,.085,,-0.3,-4.6,-4.9,-0.1
113,86,Isaiah Canaan,PG,27,MIL,4,31,5.3,.500,.833,.000,3.5,9.4,6.6,11.6,0.0,2.7,25.0,10.9,,0.0,0.0,0.0,.031,,-4.1,-0.2,-4.2,0.0
114,87,Clint Capela,C,24,HOU,52,1772,23.4,.644,.000,.350,14.8,26.5,20.5,6.9,1.0,4.1,10.5,18.5,,5.7,2.0,7.7,.209,,1.1,1.2,2.3,1.9
115,88,DeMarre Carroll,SF,32,BRK,56,1408,12.5,.549,.532,.451,4.2,17.9,11.1,7.5,0.9,0.4,9.8,18.7,,1.4,1.4,2.7,.094,,-0.9,-0.8,-1.7,0.1
116,89,Jevon Carter,PG,23,MEM,28,409,4.7,.368,.525,.136,1.4,9.5,5.4,16.1,2.7,2.3,16.7,16.5,,-1.0,0.6,-0.4,-0.046,,-6.1,1.0,-5.1,-0.3
117,90,Vince Carter,SF,42,ATL,63,1052,11.9,.573,.659,.134,2.6,13.7,8.0,9.3,1.6,1.6,9.3,16.6,,1.0,0.6,1.6,.074,,-0.1,-1.4,-1.6,0.1
118,91,Wendell Carter,C,19,CHI,44,1110,15.3,.541,.086,.302,8.5,21.7,15.1,10.8,1.1,4.6,13.4,19.2,,0.7,1.2,1.9,.083,,-2.3,1.9,-0.4,0.5
119,92,Michael Carter-Williams,PG,27,HOU,16,145,12.8,.476,.311,.426,2.2,7.9,5.0,23.0,3.0,3.5,12.1,24.6,,0.0,0.2,0.1,.039,,-3.2,-0.8,-3.9,-0.1
120,93,Alex Caruso,PG,24,LAL,9,85,12.5,.674,.278,.444,2.5,8.3,5.5,10.9,0.0,2.8,4.4,11.0,,0.2,0.0,0.3,.145,,-0.6,-1.1,-1.8,0.0
121,94,Omri Casspi,SF,30,MEM,36,520,15.9,.606,.267,.360,3.6,21.6,12.5,8.2,1.9,1.7,11.0,18.2,,0.6,0.8,1.4,.127,,-1.9,0.4,-1.5,0.1
